content,keywords,rating,satisfaction,date,year,month,season,text_len
잠이 들어야만 갈 수 있는 세계에 존재하는 꿈 백화점 그 곳에서 오늘 무슨 꿈을 꿀지 직접 골라 구매하고 꿈에서 깨어난 후 느끼는 감정이 꿈값 이 되어 백화점에 돌아간다는 신박한 설정 한국 판타지 세계관 중 단연 최고,들다 갈다 세계 존재 백화점 오늘 무슨 직접 고르다 구매 깨어나다 느끼다 감정 꿈값 되어다 백화점 돌아가다 설정 한국 판타지 세계관 단연 최고,5,Positive,2020-11-20,2020,11,Fall,121
어릴때부터 중년이 된 지금까지 다채로운 꿈여행을 해왔습니다 어떨땐 꿈을 꾼 직후 이건 잊지않게 기록으로 남겨야지 하면서도 잠이 덜 깨어 다시 잠들었다 까맣게 잊어버리곤 원망했던 적도 있었답니다 우연히 유튜브에서 소개받아 읽기 시작하면서 왜 나는 이런 상상력을 글로 쓸 생각을 못했을까 자책도 하고 이렇게 재밌게 이야기를 만든 작가에게 질투도 느끼면서 읽었습니다 마지막 예약꿈 이야기에서는 흐르는 눈물을 참을 수 없어 휴지로 눈물을 닦아가며 코를 풀어가면 읽었네요 작가의 다음 작품이 기대됩니다,어리다 중년 되다 지금 여행 해오다 직후 잊다 않다 기록 남기다 깨다 다시 잠들다 까맣다 잊어버리다 원망하다 적도 우연히 유튜브 소개 받다 읽다 시작 이렇다 상상력 쓸다 생각 자책 이렇게 재밌다 이야기 만들다 작가 질투 느끼다 읽다 마지막 예약 이야기 흐르다 눈물 차다 없다 휴지 눈물 닦다 풀다 읽다 작가 다음 작품 기대 되다,5,Positive,2020-11-01,2020,11,Fall,275
왜 어른들을 위한 힐링 판타지인지 읽고 나서야 알았다 간만에 너무 좋은 책을 발견한듯,어른 힐링 판타지 읽다 나서다 알다 간만 너무 좋다 발견,5,Positive,2020-09-14,2020,9,Fall,47
꿈을 이렇게 상상할 수가 있다니 기발 그자체 작가의 상상력이 대단하다 우리나라 작가라는게 자랑스럽다 널리널리 번역되기를,이렇게 상상 수가 기발 자체 작가 상상력 대단하다 우리나라 작가 자랑스럽다 널리 널리 번역 되다 기르다,5,Positive,2020-11-27,2020,11,Fall,66
지금 읽는중이에요 후기가 좋아서 저도 읽고싶어서 구매했는데 마지막장까지 읽고난 후에 제마음도 꽉찬 기분이 되면 좋겠네요 저도 그게 꼭필요한 순간이라서,지금 읽다 중이 후기 좋다 읽다 구매 마지막 읽다 마음 꽉차다 기분 되다 좋다 그게 필요하다 순간,5,Positive,2020-11-07,2020,11,Fall,83
현실에서 살짝 물러서 상상의 나래를 펼쳐볼수 있는 쉬어가는책,현실 살짝 물러서다 상상 나래 펼치다 보다 쉬다,5,Positive,2020-11-02,2020,11,Fall,33
잘넘겨지지 않네요,넘기다 않다,2,Negative,2021-01-15,2021,1,Winter,9
주제는 참신한데 내용은 그닥,주제 참신하다 내용 그닥,3,Neutral,2021-01-14,2021,1,Winter,15
달러구트 꿈 백화점은 애니메이션으로 만들어진 홍보 영상을 보고 호감을 갖고 주문했어요 제가 책을 잘 못 읽어요 책을 피기만 하면 집중이 잘 안 되는데 이 책은 이틀만에 다 읽었어요 따뜻하고 기발하고 몽환적이면서 현실적인 스토리가 있는 책이네요 연말에 읽기 참 좋은 책이었어요,달러 구트 백화점 애니메이션 만들어지다 홍보 영상 보고 호감 갖다 주문 자다 읽다 피기 집중 자다 되다 이틀 읽다 따뜻하다 기발하다 몽환 면서 현실 스토리 연말 읽다 차다 좋다 이다,5,Positive,2020-12-30,2020,12,Winter,153
읽고나서야 그치이런아이디어도 있지 하지만 읽기전엔 생각도못해본 꿈백화점,읽다 나서다 그치다 아이디어 읽다 생각 해보다 백화점,5,Positive,2020-11-19,2020,11,Fall,39
