rating,date,content,content_len,content_preprocess,content_word_count,year,month,sentiment,bow_가다,bow_가볍다,bow_감동,bow_기분,bow_꾸다,bow_내용,bow_동화,bow_따뜻하다,bow_마음,bow_마지막,bow_많다,bow_백화점,bow_사람,bow_상상,bow_상상력,bow_생각,bow_소재,bow_술술,bow_시간,bow_신선하다,bow_어른,bow_이렇다,bow_읽히다,bow_작가,bow_잔잔하다,bow_재미있다,bow_재밌다,bow_좋다,bow_추천,bow_한국
5,2023-06-08,재미있게 봤습니다. 킬링타임용으로 그만입니다. 머리가 무겁고 가볍게 읽을거리를 찾는 분들에게 적당한 책입니다. 꿈이라는 공간에 관심이 많은 저로서는 이야기흐름보다는 설정과 공간이 마음에 들었습니다. 마치 아이들 디즈니만화 소피아공주의 마을과 그안에서 크리스마스인 바사일리아를 연상케하는 에피는 예전의 시끌시끌하던 크리스마스 연말연시를 떠올리게 하여 너무 좋았습니다.,204,재미있다 킬링타임 용 머리 무겁다 가볍다 거리 찾다 분 적당하다 꿈 공간 관심 많다 로서 흐름 설정 공간 마음 마치 아이 디즈니 만화 소피아 주의 마을 안 크리스마스 바사 리아 연상 케 에피 예전 시끌시끌하다 크리스마스 연말 시 떠올리다 좋다,40,2023,6,positive,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,2023-06-04,이 책이 어떻게 이런 평점을 가질 수 있는지 의문이드네요. 스토리 라인이라는 것도 없고 그냥 꿈 이라는 소재에 살만 붙여서 아무런 재미가 없습니다. 그냥 말 그대로 무 재미 입니다. 재미라는게 존재하지 않아요.,117,어떻다 이렇다 평점 가지다 의문 이드 스토리 라인 그냥 꿈 소재 살 붙이다 아무렇다 재미 그냥 말 그대로 무 재미 재미 게 존재,31,2023,6,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
5,2023-04-18,"이 책을 사기 전 리뷰를 봤는데, 어린이용 판타지 소설 같다는 리뷰를 보고 잠깐 고민했습니다. 하지만 책을 많이 읽지 못한 회사원이 판타지를 꿈꾸기에는 너무나도 완벽한 책이었어요. 공감가는 구절도 많고, 감동을 받거나, 깨달음을 얻기도 했습니다. 근래 읽은 책 중 가장 최고의 책이었어요. 잘 읽었습니다 :)",172,사기 전 리뷰 어린이 용 판타지 리뷰 보고 잠깐 고민 못 회사원 판타지 꿈꾸다 완벽하다 공감 가다 구절 많다 감동 받다 깨달음 얻다 근래 중 가장 최고,43,2023,4,positive,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2023-04-17,소재는 신선한데 전개가 조금 아쉬운듯,20,소재 신선하다 전개 조금 아쉽다,5,2023,4,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4,2023-01-19,신선한 소재이긴하지만 솔직하게 이것저것섞인 느낌이라 아쉬웠어요,34,신선하다 소재 이기다 솔직하다 섞이다 아쉽다,6,2023,1,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
5,2023-01-14,글을 읽으면서 상상의 나래를 펼치게 되는 그런 책이었다. 오랜만에 읽은 너무 재미있는 책이어서 2편이 기대가 된다.,64,글 상상 나래 펼치다 그렇다 재미있다 2 편이 기대,16,2023,1,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2023-01-05,호텔 델루나 같은 느낌. 꿈이라는 소재가 신박했음. 에피소들에 양념을 더하면 드라마나 영화로 제작될 수 있을 것 같다.,66,호텔 델루 꿈 소재 신 박하다 에피 소 양념 더하다 드라마 영화로 제작,17,2023,1,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2022-11-17,꿈이라는 소재로 재미있게 이야기를 들려줍니다. 신선하고 재미있었습니다,38,꿈 소재 재미있다 들려주다 신선하다 재미있다,7,2022,11,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0
5,2022-11-16,잼있어여!! :) 작가님의 다른 책들이 기대되여,26,재다 작가 다른 기대다 여,6,2022,11,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,2022-10-28,재밌어용!! 순식간에 다 읽었네여,18,재밌다 순식간 여,4,2022,10,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
