rating,date,content
3,2020.11.21,리뷰도 좋고 늘 인기도서에 있어서 기대하고 구매했는데 .. 기대와는 너무 달라서 실망했어요 ㅠ 세계관 설정 자체는 좋으나 그 설정을 뒷받침 할 전체적인 스토리가 부실하고 뻔한 느낌입니다. 별 다른 교훈도 느껴지지 않았고요. 아쉽습니다..
2,2020.11.03,"나만 재미가 없나?... 왜 이런책을 재밌다고 하는건지 저는 좀 이해가 안가네요.
돈아까워요. 읽고 싶은 책들이 너무 많은데, 너무 후회가 됩니다.
저는 완전 비추입니다."
2,2021.01.30,"평점이 좋고 베스트셀러에 인쇄만 290판 그래서 궁금해서 구입했는데 사실 좀 놀랐습니다. 초등학생자녀가 있다면 자녀들에게 좋은 책인것같습니다.
아이디어는 좋은데 사실 매 챕터가 캐릭터들의 단순 나열뿐이라 많이 아쉬웠습니다.
(그 캐릭터에 관한 연계성도 사실 좀 떨어진다고 생각합니다) 하루만에 읽을수있습니다 쉽게 읽히고 어렵지 않은 내용이기에 단순하고 아쉽습니다.
왜 베스트셀러일까? 라는 생각을 해보니 누구나 쉽게 걱정없이 읽혀서 인것같네요.
평점과 리뷰에 큰 기대하고 사시면 실망하실수있습니다.
물론 저같은 사람도 있다고 리뷰 남기고 싶어 남깁니다.
(다 좋은 리뷰만 있어서..혹시나 큰 기대를 가지고 주문할까봐 남겨봅니다.)"
5,2020.09.19,"참 따뜻한 이야기의 책입니다. 처음부터 끝까지 마음을 몽글몽글 하게
만들어요. 읽는 내내 위로 받는 느낌이었습니다.
추운 겨울밤에 잘 어울리는 책 이라고 생각이 드네요."
5,2020.09.28,어른이 읽어도 재밌네요..밤에 자려고 눈을 감을때마다 달러구트 백화점으로 가기를 바라게 되네요
2,2020.11.11,"소재는 기발했지만 딱 그것만인 것 같아요.
문장이 허술해서 한줄 한줄 턱턱 걸리네요.
스토리 전개도 모두 예상이 가능해서 신선한 소재와 동떨어진 느낌입니다."
5,2020.08.21,"오랜만에 아주 마음에 드는 세계관을 만났습니다. 다음 권이 꼭 나왔으면 합니다
영화나 드라마나 소재로도 아주 좋을거 같아요"
5,2020.10.23,어떻게 이런 생각을 할 수 있었을까 ? 특히 악몽을 새로운 관점에서 표현한 게 인상 깊었다
5,2020.10.01,해리포터같은 파타지를 좋아하는데.. 만족스럽네요^^ 감동적인 이야기 속에 세상을 사는 지혜를 주네요. 사놓고 미루다가.. 언택트 명절을 맞아 3시간 집중해서 읽었네요. 책 많이 읽으신분들은 더 빨리 후다닥 읽을수 있을거에요. 후속 이야기 나오면 좋겠어요..
3,2021.03.30,"초반부 읽는 중인데, 글쓴이가 국어공부를 제대로 하지 않은 티가 납니다. 어색하거나 올바르지 않은 문장이 곳곳에 눈에 띄네요.
또 국내작가가 우리말로 쓴 소설인데 등장인물의 이름들이 외래어라 그런지 꼭 외국어 번역 소설을 읽는 것 같아요.
처음엔 꿈을 파는 백화점이라는 소재가 신선하다고 생각했는데 읽으면서 느끼는 건 백화점에서 꿈을 사다가 꾸면 원래 꾸는 꿈은 어떻게 되지? 였어요. 개연성이 부족한 게 아닌가 싶네요.
조금 더, 마저 읽어보긴 할 겁니다."
2,2020.09.29,해리포터를 기대했지만...ㅠ 노잼이었어요 왜 베스트에 있는지 모르겠음
5,2020.09.28,너무나도 포근하고 따뜻한 느낌이네요.마치 호그와트를 연상케하여 읽는 내내 넘 흥미롭고 행복해요.^^
5,2020.09.20,"잘읽히고 재미있어요ㅠ
보는 동안 설레는 느낌으로 보게되는거 같아요"
5,2020.11.20,"잠이 들어야만 갈 수 있는 세계에 존재하는 꿈 백화점. 그 곳에서 오늘 무슨 꿈을 꿀지 직접 골라 구매하고, 꿈에서 깨어난 후 느끼는 감정이 ‘꿈값’이 되어 백화점에 돌아간다는 신박한 설정. 한국 판타지 세계관 중 단연 최고."
5,2020.11.01,"어릴때부터 중년이 된 지금까지 다채로운 꿈여행을 해왔습니다. 어떨땐 꿈을 꾼 직후 이건 잊지않게 기록으로 남겨야지 하면서도 잠이 덜 깨어 다시 잠들었다 까맣게 잊어버리곤 원망했던 적도 있었답니다. 우연히 유튜브에서 소개받아 읽기 시작하면서 왜 나는 이런 상상력을 글로 쓸 생각을 못했을까 자책도 하고, 이렇게 재밌게 이야기를 만든 작가에게 질투도 느끼면서 읽었습니다. 마지막 예약꿈 이야기에서는 흐르는 눈물을 참을 수 없어 휴지로 눈물을 닦아가며 코를 풀어가면 읽었네요. 작가의 다음 작품이 기대됩니다."
5,2020.09.14,왜 어른들을 위한 힐링 판타지인지 읽고 나서야 알았다. 간만에 너무 좋은 책을 발견한듯♡
5,2020.11.27,꿈을 이렇게 상상할 수가 있다니... 기발 그자체 작가의 상상력이 대단하다 우리나라 작가라는게 자랑스럽다 널리널리 번역되기를..
5,2020.11.07,"지금 읽는중이에요 ㅎ 후기가 좋아서 저도 읽고싶어서 구매했는데, 마지막장까지 읽고난 후에 제마음도 꽉찬 기분이 되면 좋겠네요
저도 그게 꼭필요한 순간이라서ㅎ"
5,2020.11.02,현실에서 살짝 물러서 상상의 나래를 펼쳐볼수 있는 쉬어가는책
2,2021.01.15,잘넘겨지지 않네요 ㅎㅎ
3,2021.01.14,주제는 참신한데 내용은 그닥...
5,2020.12.30,"달러구트 꿈 백화점은 애니메이션으로 만들어진 홍보 영상을 보고 호감을 갖고 주문했어요. 제가 책을 잘 못 읽어요. 책을 피기만 하면 집중이 잘 안 되는데, 이 책은 이틀만에 다 읽었어요. 따뜻하고 기발하고 몽환적이면서 현실적인 스토리가 있는 책이네요. 연말에 읽기 참 좋은 책이었어요."
5,2020.11.19,읽고나서야 그치이런아이디어도 있지~ 하지만 읽기전엔 생각도못해본 꿈백화점
5,2020.11.07,요즘 책을 읽을 여유가 없어서 계속 미루고있다가 새벽에 심심해서 읽기 시작했는데 눈 깜짝 할 사이에 다 읽어버렸네요. 읽는 내내 지금까지 꿨던 꿈 중에 기억에 남았던 것들 회상도 하고 실제로 내가 잠든 동안에 꿈 백화점에 간 적이 있을수도 있는거 아닐까 하는 상상의 나래도 펼쳐보았어요. 넘 잘읽었습니다!
5,2020.11.05,이제 자기 전에 오늘은 무슨 꿈 꾸지 생각해보게 되요 ㅎㅎ
5,2020.11.04,행복합니다
5,2020.11.04,즐거운 꿈을 기대하게 만들어 주네요.
5,2020.11.01,어릴적 신나는 꿈을 꾸고 나면 다음날 밤에도 그 꿈을 꾸었으면 좋겠다라도 한번쯤 생각해 보셨을겁니다. 이 공간에서는 그 소망이현실이 되네요. 흥미로운 소재이네요.
5,2020.10.31,"이 책을 읽는 동안 행복하고 또 행복했습니다.
행복한 시간을 선물해 주셔서 감사드립니다, 작가님."
5,2020.10.31,"잘 읽히고 재밌어요.
지금 내 삶에대해 한번 생각해보게 됩니닺"
5,2020.10.29,읽기 쉬운 판타지 소설입니다! 아껴 읽는다고 했는데 이틀만에 다 읽어서 너무 아쉬웠어요! 영화로 나오면 너무 좋을 거 같아요!! 밝고 화려하고 사랑스러운 해리포터같은느낌
5,2020.10.29,"어른을 위한 동화
다 읽고 나서도 이야기들이 주위를 맴도는 느낌"
5,2020.10.29,"무심코 제목에 이끌려 읽었는데
정말 좋았습니다. 당장 꿈꾸로 가고 싶네요"
5,2020.10.28,뭔가 약간 히가시노 게이고 작가님의 나미야 잡화점의 기적처럼 마음이 따뜻해지고 몽글몽글 피어오르는 기분이 들어요!!
5,2020.10.26,너무 재미있게 읽었어요. 강추♡
5,2020.10.23,"요즘 우울했었는데 이 책읽고 기분이 좋아졌어요
오랜만에 마음이 따뜻해지는 자꾸 웃음이나오는 책을 찾았네요
몇번 더 읽어야겠어요"
5,2020.10.22,"동화같은 이야기♥️
주책맞게 마지막엔 눈물이..ㅜㅜ
마음이 따뜻해집니다:)"
5,2020.10.22,평소 독서취향과 좀 거리가있어서 미뤄뒀다가 읽은책. 생각보다 재미있고 상상하게되는 장면이 생기는 책입니다^^
5,2020.10.21,꿈에 대한 상상력을 발휘하면서 소설 속에서 일하는 기분~ 꿈 속인것처럼 재미있다.
5,2020.10.20,"정말 재밌게 읽었습니다
남은 페이지가 줄어가는게 아쉬울 정도로"
5,2020.10.20,"가볍게 읽기 시작해서 많은 생각에 잠기게 하는 얘기였다.
특히 9번째 이야기를 읽으며 얼마전 돌아가신 외할머니가 생각났고,
언니 꿈에 나타난 외할머니가 엄마랑 잘 놀아주라 당부하고 아직 엄마 꿈에 나타나지 않아 속상해 하던 엄마가 생각났다.
아마도 소설에서 처럼 외할머니가 엄마가 아직 힘들어 하는걸 아시고 조금 더 시간이 지난후에 나타나려고 꿈을 예약해 뒀을지도 모르겠다는 상상을 하며 마음 한 구석이 아련해 지는 느낌을 받았다.

또한 꿈이 나의 하루의 피로감을 풀어주고, 어려움을 극복하는 힘을 주며, 내일 새로운 희망을 가져다 주면서 나의 다양한 생각과 감정을 키워주는 소중한 시간임을 책을 통해 느낄 수 있었다."
