rating,date,content
5,2021-06-11,넘 재미있게 잘  읽었습니다
5,2021-06-11,오랫만에 재미있는 책을 만났네요. 적극 추천합니다
5,2021-06-10,재미있어요-~^^
5,2021-06-10,잘 읽겠습니다.
5,2021-06-07,기발한 상상력 그 안에 따뜻한 위로가 있는 책이었어요
5,2021-06-06,재밌게 읽었어요.
5,2021-06-06,주변에서 많이 추천받아서 구입하게 되었어요. 기대됩니다!
5,2021-06-06,아이가 재미있었는지 단숨에 다 읽었습니다.
5,2021-06-04,잘 받았습니다.  넘넘 기대돼요~~^^
5,2021-06-04,초등5학년 아들을 위한 책.잼있어 하네요
5,2021-06-04,잊고있었던 꿈을 다시 꾸게 되었어요. 코로나블루로 지친 마음에 힐링되는 책이에요.
5,2021-06-03,완전 강추합니다^^
5,2021-06-03,딸아이가 원해서 구입한 도서입니다. 재미있게 읽는 모습이 보기 좋으네요.
5,2021-06-03,아들 독서서평책으로 구매
5,2021-06-01,재밌게 읽었어요 추천합니다.
5,2021-06-01,심신이 지친 요즘 책 한권이 제인생의 터닝포린트가 되었어요~^^
5,2021-06-01,너무재밌게잘읽었습니다!!
5,2021-05-31,생각지도 못한 백화점 이네요
5,2021-05-30,베스트셀러라길래 궁금해서^^
5,2021-05-30,남녀노소 누구나 다  재밌게 볼 수 있는 책입니다 올해가 가기전 맘껏  꿈꿔 보세요
5,2021-05-29,소재가 독특해서 마음에 들었어요
5,2021-05-28,베스트셀러 이유가 있네요
5,2021-05-27,"평소에 꿈에 대한 상상을 많이 하고 있는데, 설정이 매우 흥미로워 구입하게 되었습니다."
5,2021-05-26,왜 인기가 많은지 알겠어요!!소장각!
5,2021-05-24,부담되지않고 잘읽힌책이에요 비슷한류책을더읽고싶어서찾아봐야겠어요
5,2021-05-24,읽는 내내 기분좋은~ 고교생 아이에게도 추천한 소설입니다~
5,2021-05-22,"마음이 몽글몽글, 나도 꿈을 살 수 있다면 좋겠다."
5,2021-05-21,마음이 따듯해지는 책이었습니다.
5,2021-05-17,감동과 재미를 모두 잡은 작품이에요 읽으면서 행복했습니다
5,2021-05-16,오늘 밤 꿈을 기대하며 잠자리에 드는것조차 설레게 만드는 책...꿈! 새로운 세계로의 여행
5,2021-05-15,몇번을 다시 읽었는지...제가 읽다 우니 우리집 12살이 그 파트를 읽고 우네요.
5,2021-04-20,좋습니다 너무 좋아요
5,2021-04-20,좋아요!
5,2021-04-19,재밌어요
5,2021-04-18,재미있게 잘 봤어요. 어른도 학생도 재미있게 볼 수 있는 책이에요.
5,2021-04-18,기대하던 책입니다.
5,2021-04-15,재미있고 흥미롭게 읽었어요
5,2021-04-13,만족합니다
5,2021-04-12,매일밤 잠들기가 설레일듯합니다.. 너무 잼있게 읽었어요^^
5,2021-04-10,재미있었어요
5,2021-04-10,재밌어요!!!
5,2021-04-10,책이 흥미진진하고 재밌어요! 왜 베스트셀러인지 알겠네요
5,2021-04-09,재밌게 잘 읽었습니다  꿈
5,2021-04-09,판타지이면서 현실적인 교훈이 많은 책이네요
5,2021-04-08,추리소설만 읽다가 계속 눈에 띄어서 구매해봤는데요 정말 잘 샀다는 생각이들었어요 강추합니다
5,2021-04-07,생각을 많이 했어요
5,2021-04-07,모처럼 나온 어른 동화 같아서 색다르다
5,2021-04-07,책읽다가 운적은 없었는데 재밌으면서 감동적입니다~ 추천합니다.
5,2021-04-06,아이가 세번째 읽고 있습니다.~^^
5,2021-04-06,아이와 읽으려고 샀어요
5,2021-03-19,장면이 머릿속에 그려지고 따뜻한느낌의 책. 읽고난뒤론 잘때마다 생각남
5,2021-03-10,너무 재미있어요
5,2021-01-27,너무 매력적인 책. 현실반영과 동시에 꿈 속 백화점이라는 신선한 세계관!
5,2021-01-27,잘봤습니다.
5,2021-01-27,"자기전에 읽기 좋은책, 오랜만에 책을 읽는데도 술술 읽혀요 종이가 독특해서 촉감이 좋아요"
5,2021-01-26,잘 봤습니다
5,2021-01-26,잘봤습니다
5,2021-01-26,잘 봤어요
5,2021-01-26,작가의 상상력이 대박이네요 너무 재미있게 읽었어요~~ 강추합니다!!
5,2021-01-26,가볍게 읽기 괜찮았습니다
5,2021-01-22,잘읽었습니다
5,2021-01-16,정말 대만족해요
5,2021-01-12,애니메이션으로 만들어도 재미있을 것 같다. 후속작도 나오면좋겠다.
5,2021-01-09,가독성이 좋은 책이라 잘 읽힙니다
5,2021-01-07,아이가 순식간에 읽어치우네요 재미나서 친구한테도 추천하고요
5,2020-12-30,후기가 좋아 구매했는데 기대됩니다
5,2020-12-29,꿈이라는걸 다시 생각하게 해보는?
5,2020-12-27,힐링책이였어요
5,2020-12-26,재밌어요~
4,2021-08-26,잔잔한 꿈을 꾸는 듯한 귀여운 소설입니다
4,2021-05-09,어른들을 위한 동화 재밌다
4,2021-04-26,잠든 시간을 들여다본 기발한 이야기
4,2021-04-25,잠자기 전에 읽으면 기분좋게 잠들수 있어요
4,2021-04-23,우리가 마주한 현실과 꿈이라는 소재가 만나니 재미있네요...
3,2021-07-27,재밌다는 평을 너무 많이 보고 사서 그런지 저는 생각보다 별로였어요..읽다 덮어서 완독못함
3,2021-06-07,기발한 상상력!
3,2021-05-04,좋아요.
3,2021-04-24,엄청 재밌는 건 아니지만 킬링타임용으로 추천
3,2021-03-17,전 별로......
3,2021-02-05,엄청난 기대를해서인지 기대만큼은 아니다 재미없는건 아니지만
3,2021-02-04,그다지 재미있거나 흥미롭진 않았어요
3,2020-12-01,소재는 기발했으나 그렇게 재미는 없었어요
